price;city;square;land_plot_surface;transport_exists_nearby;medical_service_exists_nearby;cluster
999000.0;5.0;190.0;314.0;1.0;1.0;0
586000.0;9.0;97.0;154.0;0.0;0.0;1
1070000.0;1.0;113.0;159.0;1.0;0.0;2
600000.0;1.0;120.0;98.0;1.0;1.0;0
935000.0;24.0;120.0;206.0;0.0;0.0;1
459000.0;24.0;60.0;122.0;1.0;0.0;2
760000.0;0.0;154.0;360.0;0.0;0.0;1
695000.0;1.0;114.0;114.0;0.0;0.0;1
750000.0;9.0;134.0;156.0;1.0;0.0;2
995000.0;27.0;158.0;457.0;1.0;0.0;2
700000.0;5.0;100.0;234.0;1.0;0.0;2
750000.0;8.0;145.0;190.0;1.0;0.0;2
324000.0;35.0;76.0;180.0;1.0;1.0;0
1133000.0;9.0;183.0;0.0;1.0;0.0;2
2240000.0;27.0;192.0;2000.0;0.0;0.0;1
1395000.0;0.0;265.0;404.0;1.0;0.0;2
755000.0;0.0;158.0;477.0;1.0;0.0;2
1098000.0;16.0;120.0;290.0;1.0;0.0;2
549000.0;7.0;68.0;567.0;0.0;0.0;1
1450000.0;28.0;189.0;450.0;1.0;0.0;2
369000.0;11.0;76.0;0.0;1.0;0.0;2
650000.0;17.0;100.0;0.0;1.0;0.0;2
1120000.0;27.0;130.0;251.0;1.0;0.0;2
750000.0;0.0;193.0;201.0;1.0;0.0;2
410000.0;11.0;67.0;0.0;1.0;1.0;0
850000.0;18.0;120.0;0.0;1.0;0.0;2
577500.0;0.0;114.0;337.0;1.0;0.0;2
1220000.0;22.0;190.0;250.0;1.0;0.0;2
895000.0;7.0;235.0;625.0;1.0;1.0;0
560000.0;24.0;122.0;271.0;0.0;0.0;1
675000.0;20.0;112.0;74.0;1.0;0.0;2
840000.0;0.0;201.0;318.0;0.0;0.0;1
1490000.0;27.0;250.0;526.0;0.0;0.0;1
2198700.0;33.0;280.0;803.0;1.0;1.0;0
730000.0;24.0;106.0;300.0;1.0;1.0;0
845000.0;18.0;155.0;720.0;1.0;0.0;2
699000.0;11.0;100.0;220.0;1.0;1.0;0
540000.0;16.0;70.0;93.0;0.0;0.0;1
799000.0;11.0;120.0;117.0;1.0;1.0;0
775000.0;0.0;175.0;400.0;1.0;1.0;0
695000.0;11.0;115.0;0.0;1.0;0.0;2
990000.0;10.0;210.0;210.0;0.0;0.0;1
495000.0;1.0;114.0;0.0;1.0;0.0;2
1250000.0;29.0;143.0;300.0;1.0;0.0;2
929000.0;0.0;114.0;492.0;1.0;0.0;2
1845000.0;22.0;187.0;815.0;1.0;0.0;2
1040000.0;27.0;117.0;270.0;1.0;0.0;2
549000.0;7.0;68.0;567.0;1.0;0.0;2
2600000.0;34.0;255.0;2500.0;1.0;1.0;0
620000.0;13.0;150.0;284.0;1.0;0.0;2
475000.0;24.0;86.0;213.0;1.0;0.0;2
300000.0;27.0;52.0;55.0;1.0;0.0;2
1450000.0;17.0;195.0;175.0;1.0;0.0;2
1680000.0;17.0;171.0;1088.0;1.0;0.0;2
520000.0;9.0;110.0;358.0;1.0;0.0;2
795000.0;8.0;118.0;250.0;1.0;0.0;2
525000.0;24.0;76.0;25.0;1.0;0.0;2
320000.0;11.0;45.0;0.0;1.0;1.0;0
