list_id;price;city;lat;lng;type;square;land_plot_surface;rooms;bedrooms;nb_bathrooms;nb_shower_room;energy_rate;ges;nb_floors;nb_parkings;annual_charges;transport_exists_nearby;school_exists_nearby;medical_service_exists_nearby;centre_of_town_exists_nearby;nb_square_meter_basement;nb_square_meter_balcony
2930934487.0;599000.0;9.0;48.78382834658783;2.2362986577876383;1.0;145.0;290.0;5.0;4.0;1.0;1.0;9.0;7.0;3.0;1.0;3815.0;1.0;0.0;0.0;1.0;0.0;0.0
2911821247.0;630000.0;11.0;48.92983501309976;2.2367495338950105;1.0;129.0;0.0;7.0;4.0;2.0;2.0;7.0;7.0;1.0;1.0;1470.0;1.0;1.0;0.0;1.0;0.0;0.0
2962133101.0;485000.0;11.0;48.92209;2.25265;1.0;73.0;281.0;4.0;3.0;1.0;1.0;8.0;8.0;1.0;1.0;1655.0;0.0;0.0;0.0;0.0;0.0;120.0
2954944840.0;669000.0;7.0;48.77134569562251;2.261940665489248;1.0;141.0;387.0;6.0;3.0;1.0;1.0;7.0;7.0;2.0;0.0;2333.1429616238856;1.0;0.0;0.0;1.0;90.0;0.0
2954315925.0;1145000.0;24.0;48.88465869833853;2.223567185149097;1.0;175.0;528.0;7.0;5.0;2.0;2.0;8.0;8.0;3.0;3.0;4000.0;1.0;1.0;1.0;1.0;0.0;0.0
2947342999.0;745000.0;24.0;48.88961397965716;2.201483199400556;1.0;114.0;481.0;6.0;4.0;2.0;2.0;10.0;10.0;2.0;3.0;2665.0;1.0;0.0;0.0;1.0;0.0;0.0
2933272108.0;499000.0;0.0;48.74315504526032;2.3134974667274344;1.0;140.0;110.0;6.0;4.0;1.0;1.0;7.0;5.0;3.0;1.0;572.0;1.0;1.0;0.0;1.0;0.0;0.0
2921365347.0;470000.0;23.0;48.819679206450935;2.319037854959982;1.0;58.0;0.0;3.0;2.0;1.0;0.0;10.0;10.0;3.0;0.0;1113.0;1.0;1.0;1.0;1.0;0.0;0.0
2915269968.0;1200000.0;0.0;48.75599268075643;2.3043215523099656;1.0;156.0;330.0;8.0;6.0;2.0;1.0;9.0;8.0;3.0;1.0;4123.5;1.0;1.0;1.0;1.0;0.0;19.0
2962013447.0;857000.0;27.0;48.86406755216846;2.16785107902488;1.0;144.0;0.0;7.0;5.0;2.0;0.0;5.0;5.0;2.0;0.0;2561.967989238201;0.0;0.0;0.0;0.0;0.0;0.0
2962109481.0;2590000.0;26.0;48.883478086962526;2.2398223688275585;1.0;195.0;0.0;7.0;5.0;2.0;1.0;7.0;7.0;3.0;1.0;2295.0;0.0;0.0;0.0;0.0;0.0;0.0
2951018707.0;549000.0;27.0;48.88201907368431;2.173597243628912;1.0;71.0;139.0;4.0;2.0;1.0;1.0;9.0;6.0;2.0;0.0;1425.0;1.0;1.0;1.0;1.0;9.0;0.0
2932682823.0;1345000.0;3.0;48.91862400570224;2.2703089458861663;1.0;216.0;495.0;8.0;6.0;2.0;2.0;9.0;9.0;1.0;4.0;6436.7;0.0;0.0;0.0;0.0;0.0;105.0
2604162335.0;820000.0;9.0;48.77750001600596;2.22510725091097;1.0;178.0;286.0;7.0;5.0;1.0;2.0;8.0;8.0;3.0;2.0;2785.0;1.0;1.0;0.0;1.0;0.0;10.0
2961955234.0;1160000.0;27.0;48.86159;2.16597;0.0;170.0;350.0;6.0;4.0;3.0;1.0;7.0;5.0;1.0;0.0;660.0;0.0;0.0;0.0;0.0;0.0;0.0
2943536730.0;399900.0;26.0;48.883599669855904;2.227574202639509;1.0;83.0;0.0;4.0;3.0;1.0;1.0;8.0;8.0;1.0;0.0;1704.0;1.0;0.0;0.0;1.0;0.0;33.0
2955057945.0;1090000.0;2.0;48.79023390279369;2.313827137452338;1.0;163.0;300.0;5.0;4.0;2.0;1.0;7.0;7.0;3.0;2.0;1750.0;1.0;1.0;1.0;1.0;0.0;0.0
2955028636.0;1390000.0;33.0;48.84069544934247;2.1632015301965666;1.0;161.0;180.0;5.0;4.0;3.0;3.0;8.0;8.0;1.0;2.0;2165.0;1.0;0.0;0.0;1.0;0.0;0.0
2955028634.0;1650000.0;33.0;48.84075520071808;2.151907872017478;1.0;193.0;200.0;7.0;5.0;3.0;4.0;7.0;7.0;2.0;2.0;1830.0;1.0;0.0;0.0;1.0;0.0;0.0
2954860857.0;320000.0;16.0;48.81863223446324;2.266801380520518;1.0;38.0;55.0;2.0;1.0;1.0;0.0;10.0;10.0;2.0;0.0;1530.0;1.0;1.0;0.0;1.0;0.0;0.0
2954719703.0;600000.0;16.0;48.81487425604211;2.2639204855049884;1.0;55.0;80.0;3.0;1.0;1.0;1.0;9.0;9.0;2.0;0.0;1630.0;1.0;1.0;1.0;1.0;0.0;0.0
2948593900.0;765000.0;22.0;48.815313762000045;2.2360519782805275;1.0;102.0;450.0;5.0;3.0;1.0;1.0;7.0;7.0;2.0;1.0;1900.0;1.0;0.0;0.0;1.0;0.0;0.0
2957687562.0;1370000.0;27.0;48.8730900162344;2.1858266528988084;1.0;177.0;514.0;7.0;4.0;1.0;2.0;8.0;8.0;1.0;3.0;3185.0;1.0;1.0;0.0;1.0;0.0;0.0
2950527323.0;825000.0;0.0;48.75458991235632;2.3051425870693;1.0;200.0;434.0;8.0;4.0;2.0;2.0;7.0;7.0;2.0;2.0;3500.0;1.0;1.0;0.0;1.0;0.0;0.0
2939676912.0;3000000.0;4.0;48.83788239485214;2.223724105231747;1.0;295.0;0.0;5.0;3.0;2.0;1.0;6.0;5.0;1.0;2.0;2020.5;0.0;0.0;0.0;0.0;0.0;45.0
2572696228.0;795000.0;27.0;48.85027888165733;2.1578228431803894;1.0;138.0;322.0;7.0;5.0;1.0;2.0;10.0;10.0;3.0;2.0;3585.0;1.0;1.0;0.0;1.0;0.0;0.0
2959450125.0;730000.0;7.0;48.772;2.25223;0.0;131.0;434.0;7.0;5.0;2.0;1.0;7.0;5.0;3.0;1.0;2408.048370073182;1.0;1.0;0.0;1.0;0.0;0.0
2953750927.0;1035000.0;27.0;48.878360009733335;2.1997683911934782;1.0;140.0;270.0;7.0;3.0;1.0;1.0;9.0;9.0;3.0;0.0;2555.0;1.0;1.0;0.0;1.0;100.0;0.0
2952967648.0;886000.0;27.0;48.8743678697903;2.184096475417055;1.0;109.0;0.0;5.0;3.0;1.0;1.0;8.0;8.0;1.0;1.0;3090.0;0.0;0.0;0.0;0.0;0.0;0.0
